ID,Display Text,Title,Description,Icon,X,Y,Background,Frame,Is Hidden,Should Announce,Should Show Toast,Parent,Children,Reward Experience,Reward Loot,Reward Recipes,Reward Function
minecraft:recipes/brewing/brewing_stand,minecraft:recipes/brewing/brewing_stand§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brewing_stand,null
minecraft:recipes/brewing/cauldron,minecraft:recipes/brewing/cauldron§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cauldron,null
minecraft:recipes/brewing/fermented_spider_eye,minecraft:recipes/brewing/fermented_spider_eye§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:fermented_spider_eye,null
minecraft:recipes/brewing/glass_bottle,minecraft:recipes/brewing/glass_bottle§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:glass_bottle,null
minecraft:recipes/brewing/golden_carrot,minecraft:recipes/brewing/golden_carrot§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:golden_carrot,null
minecraft:recipes/brewing/magma_cream,minecraft:recipes/brewing/magma_cream§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magma_cream,null
minecraft:recipes/brewing/speckled_melon,minecraft:recipes/brewing/speckled_melon§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:speckled_melon,null
minecraft:recipes/building_blocks/acacia_planks,minecraft:recipes/building_blocks/acacia_planks§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:acacia_planks,null
minecraft:recipes/building_blocks/acacia_stairs,minecraft:recipes/building_blocks/acacia_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:acacia_stairs,null
minecraft:recipes/building_blocks/acacia_wooden_slab,minecraft:recipes/building_blocks/acacia_wooden_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:acacia_wooden_slab,null
minecraft:recipes/building_blocks/andesite,minecraft:recipes/building_blocks/andesite§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:andesite,null
minecraft:recipes/building_blocks/birch_planks,minecraft:recipes/building_blocks/birch_planks§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:birch_planks,null
minecraft:recipes/building_blocks/birch_stairs,minecraft:recipes/building_blocks/birch_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:birch_stairs,null
minecraft:recipes/building_blocks/birch_wooden_slab,minecraft:recipes/building_blocks/birch_wooden_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:birch_wooden_slab,null
minecraft:recipes/building_blocks/black_concrete_powder,minecraft:recipes/building_blocks/black_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_concrete_powder,null
minecraft:recipes/building_blocks/black_stained_glass,minecraft:recipes/building_blocks/black_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_stained_glass,null
minecraft:recipes/building_blocks/black_stained_hardened_clay,minecraft:recipes/building_blocks/black_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_stained_hardened_clay,null
minecraft:recipes/building_blocks/black_wool,minecraft:recipes/building_blocks/black_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_wool,null
minecraft:recipes/building_blocks/blue_concrete_powder,minecraft:recipes/building_blocks/blue_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_concrete_powder,null
minecraft:recipes/building_blocks/blue_stained_glass,minecraft:recipes/building_blocks/blue_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_stained_glass,null
minecraft:recipes/building_blocks/blue_stained_hardened_clay,minecraft:recipes/building_blocks/blue_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_stained_hardened_clay,null
minecraft:recipes/building_blocks/blue_wool,minecraft:recipes/building_blocks/blue_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_wool,null
minecraft:recipes/building_blocks/bone_block,minecraft:recipes/building_blocks/bone_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:bone_meal_from_block
minecraft:bone_block",null
minecraft:recipes/building_blocks/bookshelf,minecraft:recipes/building_blocks/bookshelf§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:bookshelf,null
minecraft:recipes/building_blocks/brick_block,minecraft:recipes/building_blocks/brick_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brick_block,null
minecraft:recipes/building_blocks/brick_slab,minecraft:recipes/building_blocks/brick_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brick_slab,null
minecraft:recipes/building_blocks/brick_stairs,minecraft:recipes/building_blocks/brick_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brick_stairs,null
minecraft:recipes/building_blocks/brown_concrete_powder,minecraft:recipes/building_blocks/brown_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_concrete_powder,null
minecraft:recipes/building_blocks/brown_stained_glass,minecraft:recipes/building_blocks/brown_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_stained_glass,null
minecraft:recipes/building_blocks/brown_stained_hardened_clay,minecraft:recipes/building_blocks/brown_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_stained_hardened_clay,null
minecraft:recipes/building_blocks/brown_wool,minecraft:recipes/building_blocks/brown_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_wool,null
minecraft:recipes/building_blocks/chiseled_quartz_block,minecraft:recipes/building_blocks/chiseled_quartz_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:chiseled_quartz_block,null
minecraft:recipes/building_blocks/chiseled_red_sandstone,minecraft:recipes/building_blocks/chiseled_red_sandstone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:chiseled_red_sandstone,null
minecraft:recipes/building_blocks/chiseled_sandstone,minecraft:recipes/building_blocks/chiseled_sandstone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:chiseled_sandstone,null
minecraft:recipes/building_blocks/chiseled_stonebrick,minecraft:recipes/building_blocks/chiseled_stonebrick§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:chiseled_stonebrick,null
minecraft:recipes/building_blocks/clay,minecraft:recipes/building_blocks/clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:clay,null
minecraft:recipes/building_blocks/coal_block,minecraft:recipes/building_blocks/coal_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:coal_block
minecraft:coal",null
minecraft:recipes/building_blocks/coarse_dirt,minecraft:recipes/building_blocks/coarse_dirt§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:coarse_dirt,null
minecraft:recipes/building_blocks/cobblestone_slab,minecraft:recipes/building_blocks/cobblestone_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cobblestone_slab,null
minecraft:recipes/building_blocks/cyan_concrete_powder,minecraft:recipes/building_blocks/cyan_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_concrete_powder,null
minecraft:recipes/building_blocks/cyan_stained_glass,minecraft:recipes/building_blocks/cyan_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_stained_glass,null
minecraft:recipes/building_blocks/cyan_stained_hardened_clay,minecraft:recipes/building_blocks/cyan_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_stained_hardened_clay,null
minecraft:recipes/building_blocks/cyan_wool,minecraft:recipes/building_blocks/cyan_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_wool,null
minecraft:recipes/building_blocks/dark_oak_planks,minecraft:recipes/building_blocks/dark_oak_planks§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:dark_oak_planks,null
minecraft:recipes/building_blocks/dark_oak_stairs,minecraft:recipes/building_blocks/dark_oak_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:dark_oak_stairs,null
minecraft:recipes/building_blocks/dark_oak_wooden_slab,minecraft:recipes/building_blocks/dark_oak_wooden_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:dark_oak_wooden_slab,null
minecraft:recipes/building_blocks/dark_prismarine,minecraft:recipes/building_blocks/dark_prismarine§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:dark_prismarine,null
minecraft:recipes/building_blocks/diamond_block,minecraft:recipes/building_blocks/diamond_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:diamond_block
minecraft:diamond",null
minecraft:recipes/building_blocks/diorite,minecraft:recipes/building_blocks/diorite§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:diorite,null
minecraft:recipes/building_blocks/emerald_block,minecraft:recipes/building_blocks/emerald_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:emerald
minecraft:emerald_block",null
minecraft:recipes/building_blocks/end_bricks,minecraft:recipes/building_blocks/end_bricks§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:end_bricks,null
minecraft:recipes/building_blocks/glowstone,minecraft:recipes/building_blocks/glowstone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:glowstone,null
minecraft:recipes/building_blocks/gold_block,minecraft:recipes/building_blocks/gold_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:gold_ingot_from_block
minecraft:gold_block",null
minecraft:recipes/building_blocks/granite,minecraft:recipes/building_blocks/granite§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:granite,null
minecraft:recipes/building_blocks/gray_concrete_powder,minecraft:recipes/building_blocks/gray_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_concrete_powder,null
minecraft:recipes/building_blocks/gray_stained_glass,minecraft:recipes/building_blocks/gray_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_stained_glass,null
minecraft:recipes/building_blocks/gray_stained_hardened_clay,minecraft:recipes/building_blocks/gray_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_stained_hardened_clay,null
minecraft:recipes/building_blocks/gray_wool,minecraft:recipes/building_blocks/gray_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_wool,null
minecraft:recipes/building_blocks/green_concrete_powder,minecraft:recipes/building_blocks/green_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_concrete_powder,null
minecraft:recipes/building_blocks/green_stained_glass,minecraft:recipes/building_blocks/green_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_stained_glass,null
minecraft:recipes/building_blocks/green_stained_hardened_clay,minecraft:recipes/building_blocks/green_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_stained_hardened_clay,null
minecraft:recipes/building_blocks/green_wool,minecraft:recipes/building_blocks/green_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_wool,null
minecraft:recipes/building_blocks/hay_block,minecraft:recipes/building_blocks/hay_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:hay_block
minecraft:wheat",null
minecraft:recipes/building_blocks/iron_block,minecraft:recipes/building_blocks/iron_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:iron_block
minecraft:iron_ingot_from_block",null
minecraft:recipes/building_blocks/jungle_planks,minecraft:recipes/building_blocks/jungle_planks§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:jungle_planks,null
minecraft:recipes/building_blocks/jungle_stairs,minecraft:recipes/building_blocks/jungle_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:jungle_stairs,null
minecraft:recipes/building_blocks/jungle_wooden_slab,minecraft:recipes/building_blocks/jungle_wooden_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:jungle_wooden_slab,null
minecraft:recipes/building_blocks/lapis_block,minecraft:recipes/building_blocks/lapis_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:lapis_block
minecraft:lapis_lazuli",null
minecraft:recipes/building_blocks/light_blue_concrete_powder,minecraft:recipes/building_blocks/light_blue_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_concrete_powder,null
minecraft:recipes/building_blocks/light_blue_stained_glass,minecraft:recipes/building_blocks/light_blue_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_stained_glass,null
minecraft:recipes/building_blocks/light_blue_stained_hardened_clay,minecraft:recipes/building_blocks/light_blue_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_stained_hardened_clay,null
minecraft:recipes/building_blocks/light_blue_wool,minecraft:recipes/building_blocks/light_blue_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_wool,null
minecraft:recipes/building_blocks/light_gray_concrete_powder,minecraft:recipes/building_blocks/light_gray_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_concrete_powder,null
minecraft:recipes/building_blocks/light_gray_stained_glass,minecraft:recipes/building_blocks/light_gray_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_stained_glass,null
minecraft:recipes/building_blocks/light_gray_stained_hardened_clay,minecraft:recipes/building_blocks/light_gray_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_stained_hardened_clay,null
minecraft:recipes/building_blocks/light_gray_wool,minecraft:recipes/building_blocks/light_gray_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_wool,null
minecraft:recipes/building_blocks/lime_concrete_powder,minecraft:recipes/building_blocks/lime_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_concrete_powder,null
minecraft:recipes/building_blocks/lime_stained_glass,minecraft:recipes/building_blocks/lime_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_stained_glass,null
minecraft:recipes/building_blocks/lime_stained_hardened_clay,minecraft:recipes/building_blocks/lime_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_stained_hardened_clay,null
minecraft:recipes/building_blocks/lime_wool,minecraft:recipes/building_blocks/lime_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_wool,null
minecraft:recipes/building_blocks/lit_pumpkin,minecraft:recipes/building_blocks/lit_pumpkin§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lit_pumpkin,null
minecraft:recipes/building_blocks/magenta_concrete_powder,minecraft:recipes/building_blocks/magenta_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_concrete_powder,null
minecraft:recipes/building_blocks/magenta_stained_glass,minecraft:recipes/building_blocks/magenta_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_stained_glass,null
minecraft:recipes/building_blocks/magenta_stained_hardened_clay,minecraft:recipes/building_blocks/magenta_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_stained_hardened_clay,null
minecraft:recipes/building_blocks/magenta_wool,minecraft:recipes/building_blocks/magenta_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_wool,null
minecraft:recipes/building_blocks/magma,minecraft:recipes/building_blocks/magma§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magma,null
minecraft:recipes/building_blocks/melon_block,minecraft:recipes/building_blocks/melon_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:melon_block,null
minecraft:recipes/building_blocks/mossy_cobblestone,minecraft:recipes/building_blocks/mossy_cobblestone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:mossy_cobblestone,null
minecraft:recipes/building_blocks/mossy_stonebrick,minecraft:recipes/building_blocks/mossy_stonebrick§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:mossy_stonebrick,null
minecraft:recipes/building_blocks/nether_brick,minecraft:recipes/building_blocks/nether_brick§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:nether_brick,null
minecraft:recipes/building_blocks/nether_brick_slab,minecraft:recipes/building_blocks/nether_brick_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:nether_brick_slab,null
minecraft:recipes/building_blocks/nether_brick_stairs,minecraft:recipes/building_blocks/nether_brick_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:nether_brick_stairs,null
minecraft:recipes/building_blocks/nether_wart_block,minecraft:recipes/building_blocks/nether_wart_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:nether_wart_block,null
minecraft:recipes/building_blocks/oak_planks,minecraft:recipes/building_blocks/oak_planks§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:oak_planks,null
minecraft:recipes/building_blocks/oak_stairs,minecraft:recipes/building_blocks/oak_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:oak_stairs,null
minecraft:recipes/building_blocks/oak_wooden_slab,minecraft:recipes/building_blocks/oak_wooden_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:oak_wooden_slab,null
minecraft:recipes/building_blocks/orange_concrete_powder,minecraft:recipes/building_blocks/orange_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_concrete_powder,null
minecraft:recipes/building_blocks/orange_stained_glass,minecraft:recipes/building_blocks/orange_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_stained_glass,null
minecraft:recipes/building_blocks/orange_stained_hardened_clay,minecraft:recipes/building_blocks/orange_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_stained_hardened_clay,null
minecraft:recipes/building_blocks/orange_wool,minecraft:recipes/building_blocks/orange_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_wool,null
minecraft:recipes/building_blocks/pillar_quartz_block,minecraft:recipes/building_blocks/pillar_quartz_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pillar_quartz_block,null
minecraft:recipes/building_blocks/pink_concrete_powder,minecraft:recipes/building_blocks/pink_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_concrete_powder,null
minecraft:recipes/building_blocks/pink_stained_glass,minecraft:recipes/building_blocks/pink_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_stained_glass,null
minecraft:recipes/building_blocks/pink_stained_hardened_clay,minecraft:recipes/building_blocks/pink_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_stained_hardened_clay,null
minecraft:recipes/building_blocks/pink_wool,minecraft:recipes/building_blocks/pink_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_wool,null
minecraft:recipes/building_blocks/polished_andesite,minecraft:recipes/building_blocks/polished_andesite§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:polished_andesite,null
minecraft:recipes/building_blocks/polished_diorite,minecraft:recipes/building_blocks/polished_diorite§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:polished_diorite,null
minecraft:recipes/building_blocks/polished_granite,minecraft:recipes/building_blocks/polished_granite§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:polished_granite,null
minecraft:recipes/building_blocks/prismarine,minecraft:recipes/building_blocks/prismarine§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:prismarine,null
minecraft:recipes/building_blocks/prismarine_bricks,minecraft:recipes/building_blocks/prismarine_bricks§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:prismarine_bricks,null
minecraft:recipes/building_blocks/purple_concrete_powder,minecraft:recipes/building_blocks/purple_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_concrete_powder,null
minecraft:recipes/building_blocks/purple_stained_glass,minecraft:recipes/building_blocks/purple_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_stained_glass,null
minecraft:recipes/building_blocks/purple_stained_hardened_clay,minecraft:recipes/building_blocks/purple_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_stained_hardened_clay,null
minecraft:recipes/building_blocks/purple_wool,minecraft:recipes/building_blocks/purple_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_wool,null
minecraft:recipes/building_blocks/purpur_block,minecraft:recipes/building_blocks/purpur_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purpur_block,null
minecraft:recipes/building_blocks/purpur_pillar,minecraft:recipes/building_blocks/purpur_pillar§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purpur_pillar,null
minecraft:recipes/building_blocks/purpur_slab,minecraft:recipes/building_blocks/purpur_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purpur_slab,null
minecraft:recipes/building_blocks/purpur_stairs,minecraft:recipes/building_blocks/purpur_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purpur_stairs,null
minecraft:recipes/building_blocks/quartz_block,minecraft:recipes/building_blocks/quartz_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:quartz_block,null
minecraft:recipes/building_blocks/quartz_slab,minecraft:recipes/building_blocks/quartz_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:quartz_slab,null
minecraft:recipes/building_blocks/quartz_stairs,minecraft:recipes/building_blocks/quartz_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:quartz_stairs,null
minecraft:recipes/building_blocks/red_concrete_powder,minecraft:recipes/building_blocks/red_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_concrete_powder,null
minecraft:recipes/building_blocks/red_nether_brick,minecraft:recipes/building_blocks/red_nether_brick§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_nether_brick,null
minecraft:recipes/building_blocks/red_sandstone,minecraft:recipes/building_blocks/red_sandstone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_sandstone,null
minecraft:recipes/building_blocks/red_sandstone_slab,minecraft:recipes/building_blocks/red_sandstone_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_sandstone_slab,null
minecraft:recipes/building_blocks/red_sandstone_stairs,minecraft:recipes/building_blocks/red_sandstone_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_sandstone_stairs,null
minecraft:recipes/building_blocks/red_stained_glass,minecraft:recipes/building_blocks/red_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_stained_glass,null
minecraft:recipes/building_blocks/red_stained_hardened_clay,minecraft:recipes/building_blocks/red_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_stained_hardened_clay,null
minecraft:recipes/building_blocks/red_wool,minecraft:recipes/building_blocks/red_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_wool,null
minecraft:recipes/building_blocks/sandstone,minecraft:recipes/building_blocks/sandstone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:sandstone,null
minecraft:recipes/building_blocks/sandstone_slab,minecraft:recipes/building_blocks/sandstone_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:sandstone_slab,null
minecraft:recipes/building_blocks/sandstone_stairs,minecraft:recipes/building_blocks/sandstone_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:sandstone_stairs,null
minecraft:recipes/building_blocks/sea_lantern,minecraft:recipes/building_blocks/sea_lantern§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:sea_lantern,null
minecraft:recipes/building_blocks/smooth_red_sandstone,minecraft:recipes/building_blocks/smooth_red_sandstone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:smooth_red_sandstone,null
minecraft:recipes/building_blocks/smooth_sandstone,minecraft:recipes/building_blocks/smooth_sandstone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:smooth_sandstone,null
minecraft:recipes/building_blocks/snow,minecraft:recipes/building_blocks/snow§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:snow,null
minecraft:recipes/building_blocks/spruce_planks,minecraft:recipes/building_blocks/spruce_planks§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:spruce_planks,null
minecraft:recipes/building_blocks/spruce_stairs,minecraft:recipes/building_blocks/spruce_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:spruce_stairs,null
minecraft:recipes/building_blocks/spruce_wooden_slab,minecraft:recipes/building_blocks/spruce_wooden_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:spruce_wooden_slab,null
minecraft:recipes/building_blocks/stone_brick_slab,minecraft:recipes/building_blocks/stone_brick_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:stone_brick_slab,null
minecraft:recipes/building_blocks/stone_brick_stairs,minecraft:recipes/building_blocks/stone_brick_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:stone_brick_stairs,null
minecraft:recipes/building_blocks/stone_slab,minecraft:recipes/building_blocks/stone_slab§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:stone_slab,null
minecraft:recipes/building_blocks/stone_stairs,minecraft:recipes/building_blocks/stone_stairs§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:stone_stairs,null
minecraft:recipes/building_blocks/stonebrick,minecraft:recipes/building_blocks/stonebrick§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:stonebrick,null
minecraft:recipes/building_blocks/string_to_wool,minecraft:recipes/building_blocks/string_to_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:string_to_wool,null
minecraft:recipes/building_blocks/white_concrete_powder,minecraft:recipes/building_blocks/white_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:white_concrete_powder,null
minecraft:recipes/building_blocks/white_stained_glass,minecraft:recipes/building_blocks/white_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:white_stained_glass,null
minecraft:recipes/building_blocks/white_stained_hardened_clay,minecraft:recipes/building_blocks/white_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:white_stained_hardened_clay,null
minecraft:recipes/building_blocks/yellow_concrete_powder,minecraft:recipes/building_blocks/yellow_concrete_powder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_concrete_powder,null
minecraft:recipes/building_blocks/yellow_stained_glass,minecraft:recipes/building_blocks/yellow_stained_glass§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_stained_glass,null
minecraft:recipes/building_blocks/yellow_stained_hardened_clay,minecraft:recipes/building_blocks/yellow_stained_hardened_clay§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_stained_hardened_clay,null
minecraft:recipes/building_blocks/yellow_wool,minecraft:recipes/building_blocks/yellow_wool§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_wool,null
minecraft:recipes/combat/arrow,minecraft:recipes/combat/arrow§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:arrow,null
minecraft:recipes/combat/bow,minecraft:recipes/combat/bow§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:bow,null
minecraft:recipes/combat/diamond_boots,minecraft:recipes/combat/diamond_boots§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:diamond_boots,null
