ID,Group,Input Pattern,Input Ingredients,Output Item,Width,Height
ceramics:barrels/porcelain_barrel/black,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyeBlack",ceramics:porcelain_barrel:15 x8,3,3
ceramics:barrels/porcelain_barrel/magenta,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyeMagenta",ceramics:porcelain_barrel:2 x8,3,3
ceramics:barrels/porcelain_barrel/light_blue,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyeLightBlue",ceramics:porcelain_barrel:3 x8,3,3
ceramics:barrels/porcelain_barrel/yellow,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyeYellow",ceramics:porcelain_barrel:4 x8,3,3
ceramics:barrels/porcelain_barrel/lime,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyeLime",ceramics:porcelain_barrel:5 x8,3,3
ceramics:barrels/porcelain_barrel/pink,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyePink",ceramics:porcelain_barrel:6 x8,3,3
ceramics:barrels/porcelain_barrel/gray,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyeGray",ceramics:porcelain_barrel:7 x8,3,3
ceramics:barrels/porcelain_barrel/silver,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyeLightGray",ceramics:porcelain_barrel:8 x8,3,3
ceramics:barrels/porcelain_barrel/cyan,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel:*
B: ore:dyeCyan",ceramics:porcelain_barrel:9 x8,3,3
ceramics:barrels/porcelain_extension/white,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeWhite",ceramics:porcelain_barrel_extension x8,3,3
ceramics:barrels/porcelain_extension/orange,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeOrange",ceramics:porcelain_barrel_extension:1 x8,3,3
ceramics:barrels/porcelain_extension/purple,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyePurple",ceramics:porcelain_barrel_extension:10 x8,3,3
ceramics:barrels/porcelain_extension/blue,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeBlue",ceramics:porcelain_barrel_extension:11 x8,3,3
ceramics:barrels/porcelain_extension/brown,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeBrown",ceramics:porcelain_barrel_extension:12 x8,3,3
ceramics:barrels/porcelain_extension/green,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeGreen",ceramics:porcelain_barrel_extension:13 x8,3,3
ceramics:barrels/porcelain_extension/red,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeRed",ceramics:porcelain_barrel_extension:14 x8,3,3
ceramics:barrels/porcelain_extension/black,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeBlack",ceramics:porcelain_barrel_extension:15 x8,3,3
ceramics:barrels/porcelain_extension/magenta,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeMagenta",ceramics:porcelain_barrel_extension:2 x8,3,3
ceramics:barrels/porcelain_extension/light_blue,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeLightBlue",ceramics:porcelain_barrel_extension:3 x8,3,3
ceramics:barrels/porcelain_extension/yellow,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeYellow",ceramics:porcelain_barrel_extension:4 x8,3,3
ceramics:barrels/porcelain_extension/lime,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeLime",ceramics:porcelain_barrel_extension:5 x8,3,3
ceramics:barrels/porcelain_extension/pink,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyePink",ceramics:porcelain_barrel_extension:6 x8,3,3
ceramics:barrels/porcelain_extension/gray,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeGray",ceramics:porcelain_barrel_extension:7 x8,3,3
ceramics:barrels/porcelain_extension/silver,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeLightGray",ceramics:porcelain_barrel_extension:8 x8,3,3
ceramics:barrels/porcelain_extension/cyan,ceramics:barrel_porcelain,"AAA
ABA
AAA","A: ceramics:porcelain_barrel_extension:*
B: ore:dyeCyan",ceramics:porcelain_barrel_extension:9 x8,3,3
ceramics:decoration/porcelain_bricks/stairs,,"A--
AA-
AAA",A: ceramics:clay_hard,ceramics:porcelain_bricks_stairs x8,3,3
ceramics:decoration/rainbow_bricks/stairs,,"A--
AA-
AAA",A: ceramics:clay_hard:6,ceramics:rainbow_bricks_stairs x8,3,3
ceramics:decoration/rainbow_clay/red,,"AAA
BCD
AAA","A: ceramics:porcelain
B: ore:dyeRed
C: ore:dyeGreen
D: ore:dyeBlue",ceramics:rainbow_clay x6,3,3
ceramics:tools/unfired_clay_bucket,,"A-A
-A-",A: minecraft:clay_ball,ceramics:unfired_clay,3,2
ceramics:tools/unfired_clay_shears,,"A-
-A",A: minecraft:clay_ball,ceramics:unfired_clay:1,2,2
ceramics:faucet,,"A-A
-A-",A: ore:clayPorcelain,ceramics:unfired_clay:6,3,2
ceramics:channel,,"A-A
AAA",A: ore:clayPorcelain,ceramics:unfired_clay:7 x3,3,2
ceramics:armor/unfired_clay_plate,,AA,A: minecraft:clay_ball,ceramics:unfired_clay:8,2,1
chisel:antiblock,minecraft:,"AAA
ABA
AAA","A: ore:stone
B: ore:dustGlowstone",chisel:antiblock:15 x8,3,3
chisel:autochisel,minecraft:,"AAA
ABA
CCC","A: ore:blockGlass
B: ore:dustRedstone
C: ore:ingotIron",chisel:auto_chisel,3,3
chisel:charcoal,minecraft:,"AAA
AAA
AAA",A: ore:charcoal,chisel:block_charcoal2:1,3,3
chisel:bookshelf3,minecraft:,"A-A
BBB
A-A","A: minecraft:acacia_stairs
B: minecraft:book",chisel:bookshelf_acacia,3,3
chisel:bookshelf1,minecraft:,"A-A
BBB
A-A","A: minecraft:birch_stairs
B: minecraft:book",chisel:bookshelf_birch,3,3
chisel:bookshelf4,minecraft:,"A-A
BBB
A-A","A: minecraft:dark_oak_stairs
B: minecraft:book",chisel:bookshelf_darkoak,3,3
chisel:bookshelf2,minecraft:,"A-A
BBB
A-A","A: minecraft:jungle_stairs
B: minecraft:book",chisel:bookshelf_jungle,3,3
chisel:bookshelf0,minecraft:,"A-A
BBB
A-A","A: minecraft:spruce_stairs
B: minecraft:book",chisel:bookshelf_spruce,3,3
chisel:brownstone,minecraft:,"-A-
ABA
-A-","A: ore:sandstone
B: minecraft:clay_ball",chisel:brownstone x4,3,3
chisel:chisel_diamond,minecraft:,"-A
B-","A: ore:gemDiamond
B: ore:stickWood",chisel:chisel_diamond {chiseldata:{}},2,2
chisel:chisel_iron,minecraft:,"-A
B-","A: ore:ingotIron
B: ore:stickWood",chisel:chisel_iron,2,2
chisel:cloud,minecraft:,"-A-
A-A
-A-",A: minecraft:wool:*,chisel:cloud x32,3,3
chisel:factory,minecraft:,"ABA
B-B
ABA","A: minecraft:iron_ingot
B: minecraft:stone",chisel:factory x32,3,3
chisel:futura,minecraft:,"AAA
ABA
AAA","A: ore:stone
B: ore:dustRedstone",chisel:futura x8,3,3
chisel:glass/terrain-glassbubble,minecraft:,"AAA
AAA",A: chisel:glass,chisel:glasspane x16,3,2
chisel:glass/chinese2,minecraft:,"AAA
AAA",A: chisel:glass1,chisel:glasspane1 x16,3,2
chisel:glass/japanese2,minecraft:,"AAA
AAA",A: chisel:glass1:1,chisel:glasspane1:1 x16,3,2
chisel:glass/chinese,minecraft:,"AAA
AAA",A: chisel:glass:1,chisel:glasspane:1 x16,3,2
chisel:glass/terrain-glassstone,minecraft:,"AAA
AAA",A: chisel:glass:10,chisel:glasspane:10 x16,3,2
chisel:glass/terrain-glassstreak,minecraft:,"AAA
AAA",A: chisel:glass:11,chisel:glasspane:11 x16,3,2
chisel:glass/terrain-glass-thickgrid,minecraft:,"AAA
AAA",A: chisel:glass:12,chisel:glasspane:12 x16,3,2
chisel:glass/terrain-glass-thingrid,minecraft:,"AAA
AAA",A: chisel:glass:13,chisel:glasspane:13 x16,3,2
chisel:glass/a1-glasswindow-ironfencemodern,minecraft:,"AAA
AAA",A: chisel:glass:14,chisel:glasspane:14 x16,3,2
chisel:glass/chrono,minecraft:,"AAA
AAA",A: chisel:glass:15,chisel:glasspane:15 x16,3,2
chisel:glass/japanese,minecraft:,"AAA
AAA",A: chisel:glass:2,chisel:glasspane:2 x16,3,2
chisel:glass/terrain-glassdungeon,minecraft:,"AAA
AAA",A: chisel:glass:3,chisel:glasspane:3 x16,3,2
chisel:glass/terrain-glasslight,minecraft:,"AAA
AAA",A: chisel:glass:4,chisel:glasspane:4 x16,3,2
chisel:glass/terrain-glassnoborder,minecraft:,"AAA
AAA",A: chisel:glass:5,chisel:glasspane:5 x16,3,2
chisel:glass/terrain-glass-ornatesteel,minecraft:,"AAA
AAA",A: chisel:glass:6,chisel:glasspane:6 x16,3,2
chisel:glass/terrain-glass-screen,minecraft:,"AAA
AAA",A: chisel:glass:7,chisel:glasspane:7 x16,3,2
chisel:glass/terrain-glassshale,minecraft:,"AAA
AAA",A: chisel:glass:8,chisel:glasspane:8 x16,3,2
chisel:glass/terrain-glass-steelframe,minecraft:,"AAA
AAA",A: chisel:glass:9,chisel:glasspane:9 x16,3,2
chisel:laboratory,minecraft:,"AAA
ABA
AAA","A: minecraft:stone
B: minecraft:quartz",chisel:laboratory x8,3,3
chisel:lavastone,minecraft:,"AAA
ABA
AAA","A: minecraft:stone
B: minecraft:lava_bucket",chisel:lavastone x8,3,3
chisel:offsettool,minecraft:,"AB
CA","A: ore:ingotIron
B: minecraft:ender_pearl:*
C: ore:stickWood",chisel:offsettool,2,2
chisel:paper,minecraft:,"AAA
ABA
AAA","A: minecraft:paper:*
B: ore:stickWood",chisel:paper x32,3,3
chisel:temple,minecraft:,"AAA
ABA
AAA","A: minecraft:stone
B: minecraft:dye:6",chisel:temple x8,3,3
chisel:tyrian,minecraft:,"AAA
ABA
AAA","A: minecraft:stone
B: minecraft:iron_ingot",chisel:tyrian x32,3,3
chisel:valentines,minecraft:,"AAA
ABA
AAA","A: ore:stone
B: minecraft:dye:9",chisel:valentines x4,3,3
chisel:companion_cube,minecraft:,"AAA
ABA
AAA","A: ore:stone
B: minecraft:skull:*",chisel:valentines:9 x32,3,3
chisel:voidstone,minecraft:,"-A-
BBB
-A-","A: minecraft:ender_eye
B: minecraft:obsidian",chisel:voidstone x16,3,3
chisel:voidstone2,minecraft:,"-A-
ABA
-A-","A: minecraft:purpur_block
B: minecraft:ender_pearl",chisel:voidstone x48,3,3
chisel:waterstone,minecraft:,"AAA
ABA
AAA","A: minecraft:stone
B: minecraft:water_bucket",chisel:waterstone x8,3,3
chiselsandbits:bit_bag,,"AAA
ABA
AAA","A: minecraft:wool:*
B: chiselsandbits:block_bit:*","chiselsandbits:bit_bag {contents:[I;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]}",3,3
chiselsandbits:bitsaw_diamond,,"AAA
ABB","A: ore:stickWood
B: ore:gemDiamond",chiselsandbits:bitsaw_diamond,3,2
chiselsandbits:bittank,,"-A-
ABA
-C-","A: ore:blockGlass
B: ore:logWood
C: ore:ingotIron",chiselsandbits:bittank,3,3
chiselsandbits:chisel_diamond,,AB,"A: ore:gemDiamond
B: ore:stickWood",chiselsandbits:chisel_diamond {},2,1
chiselsandbits:chisel_gold,,AB,"A: ore:ingotGold
B: ore:stickWood",chiselsandbits:chisel_gold {},2,1
chiselsandbits:chisel_iron,,AB,"A: ore:ingotIron
B: ore:stickWood",chiselsandbits:chisel_iron {},2,1
chiselsandbits:chisel_stone,,AB,"A: ore:cobblestone
B: ore:stickWood",chiselsandbits:chisel_stone {},2,1
chiselsandbits:tape_measure,,"--A
BAC
BB-","A: ore:string
B: ore:ingotIron
C: ore:dyeYellow",chiselsandbits:tape_measure,3,3
chiselsandbits:wrench_wood,,"-A-
AB-
--B","A: ore:plankWood
B: ore:stickWood",chiselsandbits:wrench_wood,3,3
colossalchests:chest_wall,colossalchests:chest_wall,"AAA
ABA
AAA","A: ore:plankWood
B: ore:logWood",colossalchests:chest_wall x2,3,3
colossalchests:chest_wall_11,colossalchests:chest_wall_11,"AAA
ABA
AAA","A: ore:ingotCopper
B: ore:logWood",colossalchests:chest_wall:1 x2,3,3
colossalchests:chest_wall_12,colossalchests:chest_wall_12,"AAA
ABA
AAA","A: ore:ingotIron
B: ore:logWood",colossalchests:chest_wall:2 x2,3,3
colossalchests:chest_wall_13,colossalchests:chest_wall_13,"AAA
ABA
AAA","A: ore:ingotSilver
B: ore:logWood",colossalchests:chest_wall:3 x2,3,3
colossalchests:chest_wall_14,colossalchests:chest_wall_14,"AAA
ABA
AAA","A: ore:ingotGold
B: ore:logWood",colossalchests:chest_wall:4 x2,3,3
colossalchests:chest_wall_15,colossalchests:chest_wall_15,"AAA
ABA
AAA","A: ore:gemDiamond
B: ore:logWood",colossalchests:chest_wall:5 x2,3,3
colossalchests:chest_wall_16,colossalchests:chest_wall_16,"AAA
ABA
AAA","A: ore:obsidian
B: colossalchests:chest_wall:5",colossalchests:chest_wall:6,3,3
colossalchests:interface,colossalchests:interface,"-A-
ABA
-A-","A: ore:cobblestone
B: colossalchests:chest_wall",colossalchests:interface,3,3
colossalchests:interface_11,colossalchests:interface_11,"-A-
ABA
-A-","A: ore:cobblestone
B: colossalchests:chest_wall:1",colossalchests:interface:1,3,3
colossalchests:interface_12,colossalchests:interface_12,"-A-
ABA
-A-","A: ore:cobblestone
B: colossalchests:chest_wall:2",colossalchests:interface:2,3,3
colossalchests:interface_13,colossalchests:interface_13,"-A-
ABA
-A-","A: ore:cobblestone
B: colossalchests:chest_wall:3",colossalchests:interface:3,3,3
colossalchests:interface_14,colossalchests:interface_14,"-A-
ABA
-A-","A: ore:cobblestone
B: colossalchests:chest_wall:4",colossalchests:interface:4,3,3
colossalchests:interface_15,colossalchests:interface_15,"-A-
ABA
-A-","A: ore:cobblestone
B: colossalchests:chest_wall:5",colossalchests:interface:5,3,3
colossalchests:interface_16,colossalchests:interface_16,"-A-
ABA
-A-","A: ore:cobblestone
B: colossalchests:chest_wall:6",colossalchests:interface:6,3,3
comforts:hammock_white,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool",comforts:hammock,3,3
comforts:hammock_orange,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:1",comforts:hammock:1,3,3
comforts:hammock_purple,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:10",comforts:hammock:10,3,3
comforts:hammock_blue,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:11",comforts:hammock:11,3,3
comforts:hammock_brown,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:12",comforts:hammock:12,3,3
comforts:hammock_green,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:13",comforts:hammock:13,3,3
comforts:hammock_red,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:14",comforts:hammock:14,3,3
comforts:hammock_black,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:15",comforts:hammock:15,3,3
comforts:hammock_magenta,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:2",comforts:hammock:2,3,3
comforts:hammock_lightblue,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:3",comforts:hammock:3,3,3
comforts:hammock_yellow,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:4",comforts:hammock:4,3,3
comforts:hammock_lime,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:5",comforts:hammock:5,3,3
comforts:hammock_pink,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:6",comforts:hammock:6,3,3
comforts:hammock_gray,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:7",comforts:hammock:7,3,3
comforts:hammock_lightgray,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:8",comforts:hammock:8,3,3
comforts:hammock_cyan,minecraft:hammock,"ABA
ACA
ABA","A: ore:string
B: ore:stickWood
C: minecraft:wool:9",comforts:hammock:9,3,3
comforts:rope,minecraft:rope,"AA-
AB-
--A","A: ore:string
B: ore:ingotIron",comforts:rope x2,3,3
comforts:sleeping_bag_white,sleeping_bag,AAA,A: minecraft:wool,comforts:sleeping_bag,3,1
comforts:sleeping_bag_orange,sleeping_bag,AAA,A: minecraft:wool:1,comforts:sleeping_bag:1,3,1
comforts:sleeping_bag_purple,sleeping_bag,AAA,A: minecraft:wool:10,comforts:sleeping_bag:10,3,1
comforts:sleeping_bag_blue,sleeping_bag,AAA,A: minecraft:wool:11,comforts:sleeping_bag:11,3,1
comforts:sleeping_bag_brown,sleeping_bag,AAA,A: minecraft:wool:12,comforts:sleeping_bag:12,3,1
comforts:sleeping_bag_green,sleeping_bag,AAA,A: minecraft:wool:13,comforts:sleeping_bag:13,3,1
comforts:sleeping_bag_red,sleeping_bag,AAA,A: minecraft:wool:14,comforts:sleeping_bag:14,3,1
comforts:sleeping_bag_black,sleeping_bag,AAA,A: minecraft:wool:15,comforts:sleeping_bag:15,3,1
comforts:sleeping_bag_magenta,sleeping_bag,AAA,A: minecraft:wool:2,comforts:sleeping_bag:2,3,1
comforts:sleeping_bag_lightblue,sleeping_bag,AAA,A: minecraft:wool:3,comforts:sleeping_bag:3,3,1
comforts:sleeping_bag_yellow,sleeping_bag,AAA,A: minecraft:wool:4,comforts:sleeping_bag:4,3,1
comforts:sleeping_bag_lime,sleeping_bag,AAA,A: minecraft:wool:5,comforts:sleeping_bag:5,3,1
comforts:sleeping_bag_pink,sleeping_bag,AAA,A: minecraft:wool:6,comforts:sleeping_bag:6,3,1
comforts:sleeping_bag_gray,sleeping_bag,AAA,A: minecraft:wool:7,comforts:sleeping_bag:7,3,1
comforts:sleeping_bag_lightgray,sleeping_bag,AAA,A: minecraft:wool:8,comforts:sleeping_bag:8,3,1
comforts:sleeping_bag_cyan,sleeping_bag,AAA,A: minecraft:wool:9,comforts:sleeping_bag:9,3,1
conarm:armorforge_blocktough,conarm:armorforge,"AAA
-B-
---","A: tconstruct:seared:*
B: conarm:armorstation:*",conarm:armorforge,3,3
conarm:armorforge_blockhardcarbon,conarm:armorforge,"AAA
-B-
---","A: tconstruct:seared:*
B: conarm:armorstation:*",conarm:armorforge,3,3
conarm:armorforge_blockchocolate,conarm:armorforge,"AAA
-B-
---","A: tconstruct:seared:*
B: conarm:armorstation:*",conarm:armorforge,3,3
conarm:armorforge_blockmanganesedioxide,conarm:armorforge,"AAA
-B-
---","A: tconstruct:seared:*
B: conarm:armorstation:*",conarm:armorforge,3,3
conarm:armorforge_blockferroboron,conarm:armorforge,"AAA
-B-
---","A: tconstruct:seared:*
B: conarm:armorstation:*",conarm:armorforge,3,3
conarm:armorforge_blockreinforcedpinkslime,conarm:armorforge,"AAA
-B-
---","A: tconstruct:seared:*
B: conarm:armorstation:*",conarm:armorforge,3,3
conarm:armorforge_blockender,conarm:armorforge,"AAA
-B-
---","A: tconstruct:seared:*
B: conarm:armorstation:*",conarm:armorforge,3,3
conarm:armorforge_blockinfinity,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockInfinity
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""avaritia:block_resource"",Count:1b,Damage:1s}}",3,3
conarm:armorforge_blockcobalt,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockCobalt
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""chisel:blockcobalt"",Count:1b,Damage:0s}}",3,3
conarm:armorforge_blockelectricalsteel,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockElectricalSteel
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:0s}}",3,3
conarm:armorforge_blockenergeticalloy,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockEnergeticAlloy
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:1s}}",3,3
conarm:armorforge_blockvibrantalloy,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockVibrantAlloy
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:2s}}",3,3
conarm:armorforge_blockredstonealloy,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockRedstoneAlloy
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:3s}}",3,3
conarm:armorforge_blockconductiveiron,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockConductiveIron
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:4s}}",3,3
conarm:armorforge_blockpulsatingiron,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockPulsatingIron
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:5s}}",3,3
conarm:armorforge_blockdarksteel,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockDarkSteel
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:6s}}",3,3
conarm:armorforge_blocksoularium,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockSoularium
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:7s}}",3,3
conarm:armorforge_blockendsteel,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockEndSteel
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:8s}}",3,3
conarm:armorforge_blockconstructionalloy,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockConstructionAlloy
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy"",Count:1b,Damage:9s}}",3,3
conarm:armorforge_blockcrudesteel,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockCrudeSteel
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy_endergy"",Count:1b,Damage:0s}}",3,3
conarm:armorforge_blockcrystallinealloy,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockCrystallineAlloy
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy_endergy"",Count:1b,Damage:1s}}",3,3
conarm:armorforge_blockmelodicalloy,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockMelodicAlloy
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy_endergy"",Count:1b,Damage:2s}}",3,3
conarm:armorforge_blockstellaralloy,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockStellarAlloy
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy_endergy"",Count:1b,Damage:3s}}",3,3
conarm:armorforge_blockcrystallinepinkslime,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockCrystallinePinkSlime
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy_endergy"",Count:1b,Damage:4s}}",3,3
conarm:armorforge_blockenergeticsilver,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockEnergeticSilver
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy_endergy"",Count:1b,Damage:5s}}",3,3
conarm:armorforge_blockvividalloy,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockVividAlloy
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""enderio:block_alloy_endergy"",Count:1b,Damage:6s}}",3,3
conarm:armorforge_blockrefinedobsidian,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockRefinedObsidian
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""mekanism:basicblock"",Count:1b,Damage:2s}}",3,3
conarm:armorforge_blockrefinedglowstone,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockRefinedGlowstone
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""mekanism:basicblock"",Count:1b,Damage:4s}}",3,3
conarm:armorforge_blockglowstone,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockGlowstone
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""minecraft:glowstone"",Count:1b,Damage:0s}}",3,3
conarm:armorforge_blockgold,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockGold
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""minecraft:gold_block"",Count:1b,Damage:0s}}",3,3
conarm:armorforge_blockiron,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockIron
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""minecraft:iron_block"",Count:1b,Damage:0s}}",3,3
conarm:armorforge_blockredstone,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockRedstone
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""minecraft:redstone_block"",Count:1b,Damage:0s}}",3,3
conarm:armorforge_blockmanganese,conarm:armorforge,"AAA
BCB
B-B","A: tconstruct:seared:*
B: ore:blockManganese
C: conarm:armorstation:*","conarm:armorforge {textureBlock:{id:""nuclearcraft:ingot_block"",Count:1b,Damage:11s}}",3,3
