ID,Group,Input Ingredients,Output Item
nuclearcraft:item.conarm.chestplate_222,nuclearcraft:item.conarm.chestplate_222,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""peridot"",""peridot"",""peridot""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""tom_and_jerry_armor"",color:-11141291,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""tom_and_jerry_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:0.01d,TinkerData:{Materials:[""peridot"",""peridot"",""peridot""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""tom_and_jerry_armor"",color:-11141291,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""tom_and_jerry_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_219,nuclearcraft:item.conarm.chestplate_219,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""ruby"",""ruby"",""ruby""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""haorans_cult_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""haorans_cult_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:0.01d,TinkerData:{Materials:[""ruby"",""ruby"",""ruby""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""haorans_cult_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""haorans_cult_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_216,nuclearcraft:item.conarm.chestplate_216,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""sapphire"",""sapphire"",""sapphire""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""aquaspeed_armor"",color:-11184641,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""aquaspeed_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:0.01d,TinkerData:{Materials:[""sapphire"",""sapphire"",""sapphire""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""aquaspeed_armor"",color:-11184641,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""aquaspeed_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_205,nuclearcraft:item.conarm.chestplate_205,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""alumite"",""alumite"",""alumite""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""camdaibay_armor"",color:-43691,level:1},{identifier:""dunanstransport_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""camdaibay_armor"",""dunanstransport_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:1","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:0.1d,TinkerData:{Materials:[""alumite"",""alumite"",""alumite""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""camdaibay_armor"",color:-43691,level:1},{identifier:""dunanstransport_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""camdaibay_armor"",""dunanstransport_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_223,nuclearcraft:item.conarm.chestplate_223,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""peridot"",""peridot"",""peridot""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""tom_and_jerry_armor"",color:-11141291,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""tom_and_jerry_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:1","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:0.1d,TinkerData:{Materials:[""peridot"",""peridot"",""peridot""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""tom_and_jerry_armor"",color:-11141291,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""tom_and_jerry_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_220,nuclearcraft:item.conarm.chestplate_220,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""ruby"",""ruby"",""ruby""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""haorans_cult_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""haorans_cult_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:1","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:0.1d,TinkerData:{Materials:[""ruby"",""ruby"",""ruby""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""haorans_cult_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""haorans_cult_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_217,nuclearcraft:item.conarm.chestplate_217,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""sapphire"",""sapphire"",""sapphire""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""aquaspeed_armor"",color:-11184641,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""aquaspeed_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:1","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:0.1d,TinkerData:{Materials:[""sapphire"",""sapphire"",""sapphire""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""aquaspeed_armor"",color:-11184641,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""aquaspeed_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_206,nuclearcraft:item.conarm.chestplate_206,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""alumite"",""alumite"",""alumite""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""camdaibay_armor"",color:-43691,level:1},{identifier:""dunanstransport_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""camdaibay_armor"",""dunanstransport_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:2","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:1.0d,TinkerData:{Materials:[""alumite"",""alumite"",""alumite""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""camdaibay_armor"",color:-43691,level:1},{identifier:""dunanstransport_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""camdaibay_armor"",""dunanstransport_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_224,nuclearcraft:item.conarm.chestplate_224,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""peridot"",""peridot"",""peridot""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""tom_and_jerry_armor"",color:-11141291,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""tom_and_jerry_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:2","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:1.0d,TinkerData:{Materials:[""peridot"",""peridot"",""peridot""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""tom_and_jerry_armor"",color:-11141291,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""tom_and_jerry_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_221,nuclearcraft:item.conarm.chestplate_221,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""ruby"",""ruby"",""ruby""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""haorans_cult_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""haorans_cult_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:2","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:1.0d,TinkerData:{Materials:[""ruby"",""ruby"",""ruby""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""haorans_cult_armor"",color:-43691,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""haorans_cult_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_218,nuclearcraft:item.conarm.chestplate_218,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},TinkerData:{Materials:[""sapphire"",""sapphire"",""sapphire""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""aquaspeed_armor"",color:-11184641,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""aquaspeed_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:2","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:496,Defense:20.0f},ncRadiationResistance:1.0d,TinkerData:{Materials:[""sapphire"",""sapphire"",""sapphire""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""aquaspeed_armor"",color:-11184641,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""aquaspeed_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_225,nuclearcraft:item.conarm.chestplate_225,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},TinkerData:{Materials:[""emerald_plustic"",""emerald_plustic"",""emerald_plustic""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""goodfridayagreement_armor"",color:-11141291,level:1},{identifier:""terrafirma"",color:-11141291,level:1,terrafirma1:1b},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""goodfridayagreement_armor"",""terrafirma1"",""leveling_armor""]}
nuclearcraft:rad_shielding","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},ncRadiationResistance:0.01d,TinkerData:{Materials:[""emerald_plustic"",""emerald_plustic"",""emerald_plustic""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""goodfridayagreement_armor"",color:-11141291,level:1},{identifier:""terrafirma"",color:-11141291,level:1,terrafirma1:1b},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""goodfridayagreement_armor"",""terrafirma1"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_226,nuclearcraft:item.conarm.chestplate_226,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},TinkerData:{Materials:[""emerald_plustic"",""emerald_plustic"",""emerald_plustic""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""goodfridayagreement_armor"",color:-11141291,level:1},{identifier:""terrafirma"",color:-11141291,level:1,terrafirma1:1b},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""goodfridayagreement_armor"",""terrafirma1"",""leveling_armor""]}
nuclearcraft:rad_shielding:1","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},ncRadiationResistance:0.1d,TinkerData:{Materials:[""emerald_plustic"",""emerald_plustic"",""emerald_plustic""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""goodfridayagreement_armor"",color:-11141291,level:1},{identifier:""terrafirma"",color:-11141291,level:1,terrafirma1:1b},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""goodfridayagreement_armor"",""terrafirma1"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_227,nuclearcraft:item.conarm.chestplate_227,"conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},TinkerData:{Materials:[""emerald_plustic"",""emerald_plustic"",""emerald_plustic""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""goodfridayagreement_armor"",color:-11141291,level:1},{identifier:""terrafirma"",color:-11141291,level:1,terrafirma1:1b},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""goodfridayagreement_armor"",""terrafirma1"",""leveling_armor""]}
nuclearcraft:rad_shielding:2","conarm:chestplate {StatsOriginal:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},Stats:{Toughness:2.2f,FreeModifiers:3,Durability:648,Defense:20.0f},ncRadiationResistance:1.0d,TinkerData:{Materials:[""emerald_plustic"",""emerald_plustic"",""emerald_plustic""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""goodfridayagreement_armor"",color:-11141291,level:1},{identifier:""terrafirma"",color:-11141291,level:1,terrafirma1:1b},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""goodfridayagreement_armor"",""terrafirma1"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_213,nuclearcraft:item.conarm.chestplate_213,"conarm:chestplate {StatsOriginal:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Stats:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Special:{alienStatPool:{identifier:"""",color:16777215,defense:3.979997f,durability:203,toughness:1.9899985f}},TinkerData:{Materials:[""iridium"",""iridium"",""iridium""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""alien_armor"",color:-5592406,level:1},{identifier:""dense_armor"",color:-5592406,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""alien_armor"",""dense_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding","conarm:chestplate {StatsOriginal:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Stats:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Special:{alienStatPool:{identifier:"""",color:16777215,defense:3.979997f,durability:203,toughness:1.9899985f}},ncRadiationResistance:0.01d,TinkerData:{Materials:[""iridium"",""iridium"",""iridium""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""alien_armor"",color:-5592406,level:1},{identifier:""dense_armor"",color:-5592406,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""alien_armor"",""dense_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_214,nuclearcraft:item.conarm.chestplate_214,"conarm:chestplate {StatsOriginal:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Stats:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Special:{alienStatPool:{identifier:"""",color:16777215,defense:3.979997f,durability:203,toughness:1.9899985f}},TinkerData:{Materials:[""iridium"",""iridium"",""iridium""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""alien_armor"",color:-5592406,level:1},{identifier:""dense_armor"",color:-5592406,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""alien_armor"",""dense_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:1","conarm:chestplate {StatsOriginal:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Stats:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Special:{alienStatPool:{identifier:"""",color:16777215,defense:3.979997f,durability:203,toughness:1.9899985f}},ncRadiationResistance:0.1d,TinkerData:{Materials:[""iridium"",""iridium"",""iridium""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""alien_armor"",color:-5592406,level:1},{identifier:""dense_armor"",color:-5592406,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""alien_armor"",""dense_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_215,nuclearcraft:item.conarm.chestplate_215,"conarm:chestplate {StatsOriginal:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Stats:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Special:{alienStatPool:{identifier:"""",color:16777215,defense:3.979997f,durability:203,toughness:1.9899985f}},TinkerData:{Materials:[""iridium"",""iridium"",""iridium""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""alien_armor"",color:-5592406,level:1},{identifier:""dense_armor"",color:-5592406,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""alien_armor"",""dense_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:2","conarm:chestplate {StatsOriginal:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Stats:{Toughness:2.4f,FreeModifiers:3,Durability:353,Defense:17.2f},Special:{alienStatPool:{identifier:"""",color:16777215,defense:3.979997f,durability:203,toughness:1.9899985f}},ncRadiationResistance:1.0d,TinkerData:{Materials:[""iridium"",""iridium"",""iridium""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""alien_armor"",color:-5592406,level:1},{identifier:""dense_armor"",color:-5592406,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""alien_armor"",""dense_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_45,nuclearcraft:item.conarm.chestplate_45,"conarm:chestplate {StatsOriginal:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},Stats:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},TinkerData:{Materials:[""magmaslime"",""magmaslime"",""magmaslime""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""autoforge_armor"",color:-27123,level:1},{identifier:""superhot_armor"",color:-27123,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""autoforge_armor"",""superhot_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding","conarm:chestplate {StatsOriginal:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},Stats:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},ncRadiationResistance:0.01d,TinkerData:{Materials:[""magmaslime"",""magmaslime"",""magmaslime""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""autoforge_armor"",color:-27123,level:1},{identifier:""superhot_armor"",color:-27123,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""autoforge_armor"",""superhot_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_46,nuclearcraft:item.conarm.chestplate_46,"conarm:chestplate {StatsOriginal:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},Stats:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},TinkerData:{Materials:[""magmaslime"",""magmaslime"",""magmaslime""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""autoforge_armor"",color:-27123,level:1},{identifier:""superhot_armor"",color:-27123,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""autoforge_armor"",""superhot_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:1","conarm:chestplate {StatsOriginal:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},Stats:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},ncRadiationResistance:0.1d,TinkerData:{Materials:[""magmaslime"",""magmaslime"",""magmaslime""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""autoforge_armor"",color:-27123,level:1},{identifier:""superhot_armor"",color:-27123,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""autoforge_armor"",""superhot_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_47,nuclearcraft:item.conarm.chestplate_47,"conarm:chestplate {StatsOriginal:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},Stats:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},TinkerData:{Materials:[""magmaslime"",""magmaslime"",""magmaslime""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""autoforge_armor"",color:-27123,level:1},{identifier:""superhot_armor"",color:-27123,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""autoforge_armor"",""superhot_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:2","conarm:chestplate {StatsOriginal:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},Stats:{Toughness:2.5f,FreeModifiers:3,Durability:189,Defense:19.4f},ncRadiationResistance:1.0d,TinkerData:{Materials:[""magmaslime"",""magmaslime"",""magmaslime""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""autoforge_armor"",color:-27123,level:1},{identifier:""superhot_armor"",color:-27123,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""autoforge_armor"",""superhot_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_189,nuclearcraft:item.conarm.chestplate_189,"conarm:chestplate {StatsOriginal:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},Stats:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},TinkerData:{Materials:[""boron_nitride"",""boron_nitride"",""boron_nitride""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""ambitious_armor"",color:-831147415,level:1},{identifier:""spiny_armor"",color:-831147415,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""ambitious_armor"",""spiny_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding","conarm:chestplate {StatsOriginal:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},Stats:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},ncRadiationResistance:0.01d,TinkerData:{Materials:[""boron_nitride"",""boron_nitride"",""boron_nitride""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""ambitious_armor"",color:-831147415,level:1},{identifier:""spiny_armor"",color:-831147415,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""ambitious_armor"",""spiny_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_190,nuclearcraft:item.conarm.chestplate_190,"conarm:chestplate {StatsOriginal:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},Stats:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},TinkerData:{Materials:[""boron_nitride"",""boron_nitride"",""boron_nitride""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""ambitious_armor"",color:-831147415,level:1},{identifier:""spiny_armor"",color:-831147415,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""ambitious_armor"",""spiny_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:1","conarm:chestplate {StatsOriginal:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},Stats:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},ncRadiationResistance:0.1d,TinkerData:{Materials:[""boron_nitride"",""boron_nitride"",""boron_nitride""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""ambitious_armor"",color:-831147415,level:1},{identifier:""spiny_armor"",color:-831147415,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""ambitious_armor"",""spiny_armor"",""leveling_armor""]}"
nuclearcraft:item.conarm.chestplate_191,nuclearcraft:item.conarm.chestplate_191,"conarm:chestplate {StatsOriginal:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},Stats:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},TinkerData:{Materials:[""boron_nitride"",""boron_nitride"",""boron_nitride""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""ambitious_armor"",color:-831147415,level:1},{identifier:""spiny_armor"",color:-831147415,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""ambitious_armor"",""spiny_armor"",""leveling_armor""]}
nuclearcraft:rad_shielding:2","conarm:chestplate {StatsOriginal:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},Stats:{Toughness:2.7f,FreeModifiers:3,Durability:450,Defense:20.0f},ncRadiationResistance:1.0d,TinkerData:{Materials:[""boron_nitride"",""boron_nitride"",""boron_nitride""],Modifiers:[""leveling_armor""]},Modifiers:[{identifier:""ambitious_armor"",color:-831147415,level:1},{identifier:""spiny_armor"",color:-831147415,level:1},{identifier:""leveling_armor"",color:16777215,level:1}],Traits:[""ambitious_armor"",""spiny_armor"",""leveling_armor""]}"
